"GEOCODE","var_pl94_use","count"
"440070001022010","tot_a0p_r1_w",152
"440070001022010","tot_a0p_r1_b",0
"440070001022010","tot_a0p_r1_na",0
"440070001022010","tot_a0p_r1_a",0
"440070001022010","tot_a0p_r1_pi",0
"440070001022010","tot_a0p_r1_o",0
"440070001022010","tot_a0p_r2p_all",0
"440070001022010","tot_a0p_hl_yn",152
"440070001022010","tot_a0p_hl_y",0
"440070001022010","tot_a0p_hl_n",152
"440070001022010","tot_a0p_r1p_all_hl_n",152
"440070001022010","tot_a0p_r1_w_hl_n",152
"440070001022010","tot_a0p_r1_b_hl_n",0
"440070001022010","tot_a0p_r1_na_hl_n",0
"440070001022010","tot_a0p_r1_a_hl_n",0
"440070001022010","tot_a0p_r1_pi_hl_n",0
"440070001022010","tot_a0p_r1_o_hl_n",0
"440070001022010","tot_a0p_r2p_all_hl_n",0
"440070001022010","tot_a18p",152
"440070001022010","tot_a18p_r1_all",152
"440070001022010","tot_a18p_r1_w",152
"440070001022010","tot_a18p_r1_b",0
"440070001022010","tot_a18p_r1_na",0
"440070001022010","tot_a18p_r1_a",0
"440070001022010","tot_a18p_r1_pi",0
"440070001022010","tot_a18p_r1_o",0
"440070001022010","tot_a18p_r2p_all",0
"440070001022010","tot_a18p_hl_yn",152
"440070001022010","tot_a18p_hl_y",0
"440070001022010","tot_a18p_hl_n",152
"440070001022010","tot_a18p_r1p_all_hl_n",152
"440070001022010","tot_a18p_r1_w_hl_n",152
"440070001022010","tot_a18p_r1_b_hl_n",0
"440070001022010","tot_a18p_r1_na_hl_n",0
"440070001022010","tot_a18p_r1_a_hl_n",0
"440070001022010","tot_a18p_r1_pi_hl_n",0
"440070001022010","tot_a18p_r1_o_hl_n",0
"440070001022010","tot_a18p_r2p_all_hl_n",0
"440070001024048","tot_a0p",59
"440070001024048","tot_a0p_r1_all",59
"440070001024048","tot_a0p_r1_w",59
"440070001024048","tot_a0p_r1_b",0
"440070001024048","tot_a0p_r1_na",0
"440070001024048","tot_a0p_r1_a",0
"440070001024048","tot_a0p_r1_pi",0
"440070001024048","tot_a0p_r1_o",0
"440070001024048","tot_a0p_r2p_all",0
"440070001024048","tot_a0p_hl_yn",59
"440070001024048","tot_a0p_hl_y",42
"440070001024048","tot_a0p_hl_n",17
"440070001024048","tot_a0p_r1p_all_hl_n",17
"440070001024048","tot_a0p_r1_w_hl_n",17
"440070001024048","tot_a0p_r1_b_hl_n",0
"440070001024048","tot_a0p_r1_na_hl_n",0
"440070001024048","tot_a0p_r1_a_hl_n",0
"440070001024048","tot_a0p_r1_pi_hl_n",0
"440070001024048","tot_a0p_r1_o_hl_n",0
"440070001024048","tot_a0p_r2p_all_hl_n",0
"440070001024048","tot_a18p",59
"440070001024048","tot_a18p_r1_all",59
"440070001024048","tot_a18p_r1_w",59
"440070001024048","tot_a18p_r1_b",0
"440070001024048","tot_a18p_r1_na",0
"440070001024048","tot_a18p_r1_a",0
"440070001024048","tot_a18p_r1_pi",0
"440070001024048","tot_a18p_r1_o",0
"440070001024048","tot_a18p_r2p_all",0
"440070001024048","tot_a18p_hl_yn",59
"440070001024048","tot_a18p_hl_y",42
"440070001024048","tot_a18p_hl_n",17
"440070001024048","tot_a18p_r1p_all_hl_n",17
"440070001024048","tot_a18p_r1_w_hl_n",17
"440070001024048","tot_a18p_r1_b_hl_n",0
